e_wavolm;4027
	k_kanuid;4000					e_wavolm
		d_binyah;4000				e_wavolm
			c_lotoald;4000			e_wavolm
			c_wapofia;4000			e_wavolm
			c_rolaud;4000			e_wavolm
			c_kaneslav;4000			e_wavolm
		d_toshua;4000				e_wavolm
			c_daud;4000				e_wavolm
			c_enoald;4000			e_wavolm
			c_totosi;4000			e_wavolm
			c_norosi;4000			e_wavolm
		d_diniko;4000				e_wavolm
			c_wogyah;4000			e_wavolm
			c_notenr;4000			e_wavolm
			c_enyah;4000			e_wavolm
		d_qotaud;4000				e_wavolm
			c_tigh;4000				e_wavolm
			c_libigh;4000			e_wavolm
		d_sotoald;4000				e_wavolm
			c_rirord;4000			e_wavolm
			c_kadaud;4000			e_wavolm
			c_kanofia;4000			e_wavolm
		d_qonyah;4000				e_wavolm
			c_sotofia;4000			e_wavolm
			c_roreodo;4000			e_wavolm
			c_nirigh;4000			e_wavolm
			c_katigh;4000			e_wavolm
	k_katiu;4005					e_wavolm
		d_sucyid;4005				e_wavolm
			c_nacazi;4005			e_wavolm
			c_qatazi;4005			e_wavolm
		d_katiu;4005				e_wavolm
			c_enatigh;4005			e_wavolm
			c_dibuid;4005			e_wavolm
			c_ranekpa;4005			e_wavolm
		d_badir;4005				e_wavolm
			c_kahotus;4005			e_wavolm
			c_ratalpo;4005			e_wavolm
			c_asariu;4005			e_wavolm
		d_sonuid;4005				e_wavolm
			c_tatekpa;4005				e_wavolm
			c_danitus;4005				e_wavolm
		d_rierigh;4005				e_wavolm
			c_ririgh;4005				e_wavolm
			c_tabesa;4005				e_wavolm
			c_wacazi;4005				e_wavolm
		d_evluitan;4005				e_wavolm
			c_tonka;4005				e_wavolm
			c_wermis;4005				e_wavolm
			c_seiranka;4005				e_wavolm
			c_aprabuid;4005				e_wavolm
		d_sabemar;4005				e_wavolm
			c_leiresa;4005				e_wavolm
			c_egavalan;4005				e_wavolm
			c_qalli;4005				e_wavolm
			c_nonda;4005				e_wavolm
		d_ranah;4005				e_wavolm
			c_ruedoti;4005				e_wavolm
			c_egabojan;4005				e_wavolm
			c_ahelojan;4005				e_wavolm
	k_kugasi;4008				e_wavolm
		d_danali;4008				e_wavolm
			c_adhih;4008				e_wavolm
			c_noniu;4008				e_wavolm
			c_dabah;4008				e_wavolm
		d_qyabatso;4008				e_wavolm
			c_karigh;4008				e_wavolm
			c_batuid;4008				e_wavolm
			c_kuravid;4008				e_wavolm
		d_aturasi;4008				e_wavolm
			c_bieruid;4008				e_wavolm
			c_radir;4008				e_wavolm
			c_rotadir;4008				e_wavolm
		d_ajatigh;4008				e_wavolm
			c_kuydel;4008				e_wavolm
			c_sabord;4008				e_wavolm
			c_enikuid;4008				e_wavolm
		d_kurise;4008				e_wavolm
			c_qikord;4008				e_wavolm
			c_ladir;4008				e_wavolm
			c_tonuid;4008				e_wavolm
	k_lunein;4015				e_wavolm
		d_enatord;4015				e_wavolm
			c_wuid;4015				e_wavolm
			c_bierdel;4015				e_wavolm
			c_lord;4015				e_wavolm
		d_weacob;4015				e_wavolm
			c_dulatso;4015				e_wavolm
			c_rurach;4015				e_wavolm
			c_akugach;4015				e_wavolm
		d_wurein;4015				e_wavolm
			c_adhuid;4015				e_wavolm
			c_lyeise;4015				e_wavolm
			c_ravolm;4015				e_wavolm
		d_syabina;4015				e_wavolm
			c_wyeiu;4015				e_wavolm
			c_akaygolm;4015				e_wavolm
		d_qorach;4015				e_wavolm
			c_laydach;4015				e_wavolm
			c_qimatso;4015				e_wavolm
		d_turasi;4015				e_wavolm
			c_wyeadir;4015				e_wavolm
			c_tavein;4015				e_wavolm
			c_epavein;4015				e_wavolm
	k_tuuds;4019				e_wavolm
		d_ligamur;4019				e_wavolm
			c_welirma;4019				e_wavolm
			c_ligibel;4019				e_wavolm
			c_kanisma;4019				e_wavolm
			c_tyijamur;4019				e_wavolm
		d_kyabaina;4019				e_wavolm
			c_dutaina;4019				e_wavolm
			c_qanein;4019				e_wavolm
			c_toysan;4019				e_wavolm
		d_ligirma;4019				e_wavolm
			c_ryabor;4019				e_wavolm
			c_tinaga;4019				e_wavolm
	k_tabise;4027				e_wavolm
		d_kanasi;4027				e_wavolm
			c_suracob;4027				e_wavolm
			c_wuniu;4027				e_wavolm
		d_qimadir;4027				e_wavolm
			c_ekugesse;4027				e_wavolm
			c_doriu;4027				e_wavolm
			c_dyeadir;4027				e_wavolm
		d_syeein;4027				e_wavolm
			c_tyeavin;4027				e_wavolm
			c_kugatso;4027				e_wavolm
			c_wimavin;4027				e_wavolm
			c_lugina;4027				e_wavolm
		d_seisma;4027				e_wavolm
			c_neein;4027				e_wavolm
			c_keesse;4027				e_wavolm
		d_kabina;4027				e_wavolm
			c_reina;4027				e_wavolm
			c_enavin;4027				e_wavolm
			c_suravin;4027				e_wavolm
		d_ryacisma;4027				e_wavolm
			c_qaydor;4027				e_wavolm
			c_laninnas;4027				e_wavolm
			c_torein;4027				e_wavolm
		d_eeisma;4027				e_wavolm
			c_rurasi;4027				e_wavolm
			c_tavach;4027				e_wavolm
			c_labina;4027				e_wavolm
		d_relibel;4027				e_wavolm
			c_syabein;4027				e_wavolm
			c_taygasi;4027				e_wavolm
	k_qimolm;4031					e_wavolm
		d_susirma;4031				e_wavolm
			c_ejelirin;4031			e_wavolm
			c_arusan;4031			e_wavolm
		d_qusirma;4031				e_wavolm
			c_tanahil;4031			e_wavolm
			c_boysan;4031			e_wavolm
			c_rinaina;4031			e_wavolm
			c_naririn;4031			e_wavolm
		d_danile;4031				e_wavolm
			c_akaydan;4031			e_wavolm
			c_tanor;4031			e_wavolm
			c_nongaga;4031			e_wavolm
	k_tulatso;4038					e_wavolm
		d_rurina;4038				e_wavolm
			c_loravid;4038			e_wavolm
			c_turiu;4038			e_wavolm
			c_saygein;4038			e_wavolm
		d_talate;4038				e_wavolm
			c_raramur;4038			e_wavolm
			c_tyeatso;4038				e_wavolm
			c_baydasi;4038				e_wavolm
		d_koravin;4038				e_wavolm
			c_kanolm;4038				e_wavolm
			c_dyeolm;4038				e_wavolm
		d_rivirma;4038				e_wavolm
			c_aturient;4038				e_wavolm
			c_bigate;4038				e_wavolm
		d_dugacob;4038				e_wavolm
			c_deesse;4038				e_wavolm
			c_lyabasi;4038				e_wavolm
			c_agulient;4038				e_wavolm
		d_telahil;4038				e_wavolm
			c_ryijan;4038				e_wavolm
			c_busahil;4038				e_wavolm
			c_relibel;4038				e_wavolm
			c_wusate;4038				e_wavolm
		d_qimasi;4038				e_wavolm
			c_ravient;4038				e_wavolm
			c_korient;4038				e_wavolm
			c_ebise;4038				e_wavolm
		d_baban;4038				e_wavolm
			c_rivamur;4038				e_wavolm
			c_telahil;4038				e_wavolm
		d_qyijirma;4038				e_wavolm
			c_baramur;4038				e_wavolm
			c_binaga;4038				e_wavolm
e_deeproots;0
	k_elderlands;0
		d_katavya;0
			c_bouz;0
			c_azmevi;0
			c_lapataw;0
			c_nahuiuz;0
			c_dauq;0
		d_tesani;0
			c_rogadur;0
			c_datouz;0
			c_tezanu;0
		d_qyevoja;0
			c_etapanu;0
			c_natuqa;0
			c_buyauz;0
			c_wuyapta;0
		d_koland;0
			c_eland;0
			c_dictaw;0
			c_wanta;0
			c_sekuji;0
		d_ricaton;0
			c_talanu;0
			c_ruyaka;0
			c_lalauq;0
		d_qiteayge;0
			c_ritiz;0
			c_nesani;0
			c_erogiz;0
	k_richsoil;0
		d_naditsa;0
			c_tavumo;0
			c_renalli;0
			c_weabu;0
		d_dinarn;0
			c_noyade;0
			c_sanabu;0
			c_ralabu;0
			c_barurab;0
			c_savurab;0
		d_renabu;0
			c_renabu;0
			c_narefan;0
			c_kanarn;0
		d_quzefan;0
			c_rarabu;0
			c_kinabu;0
			c_aeyen;0
			c_badyen;0
		d_neefan;0
			c_tapaide;0
			c_qapurab;0
			c_abuzurab;0
	k_greatgrove;0
		d_ranotei;0
			c_ravabu;0
			c_tanurab;0
			c_lerarn;0
		d_kanard;0
			c_tararn;0
			c_aeefan;0
			c_echicfan;0
			c_ticde;0
		d_sinaaq;0
			c_qyunella;0
			c_winumo;0
			c_derotei;0
		d_ridataw;0
			c_tapalli;0
			c_qavurab;0
			c_rapumo;0
		d_syori;0
			c_linabu;0
			c_tyunajan;0
			c_walaula;0
		d_ase;0
			c_rakutt;0
			c_rerilo;0
			c_raram;0
			c_leaham;0
			c_rapotei;0
		d_ahavid;0
			c_kalodia;0
			c_akrella;0
			c_dinara;0
	k_greatglory;0
		d_ett;0
			c_beyaaq;0
			c_ridutt;0
			c_daipise;0
			c_rorulgu;0
			c_eqiai;0
		d_wamavid;0
			c_taaq;0
			c_rapise;0
			c_byahavid;0
			c_akicaaq;0
			c_socilip;0
		d_ruatt;0
			c_ticilip;0
			c_ramaaq;0
			c_winonia;0
		d_radur;0
			c_rorutt;0
			c_ramavid;0
			c_dapulgu;0
		d_navid;0
			c_noraaq;0
			c_kamaaq;0
			c_sanutt;0
			c_alakulgu;0
